  Order ID     Order Date    Order Priority Order Quantity     Sales       Ship Mode     Shipping Cost         Province          Customer Segment    Product Category      Product Sub-Category      Product Container    Ship Date
   28901        6/11/2019         High            23           932.31     Regular Air         6.3          British Columbia       Small Business     Office Supplies               Paper                 Small Box        6/12/2019
    4642        2/25/2018       Critical           9          70.2027     Regular Air         3.8          British Columbia         Corporate           Technology         Computer Peripherals          Small Pack       2/26/2018
   23264        12/6/2017       Critical          27           83.96      Regular Air         1.1        Northwest Territories      Corporate        Office Supplies              Labels                 Small Box        12/8/2017
    2503        6/18/2017        Medium            9           173.51     Regular Air         5.1               Alberta             Corporate           Technology     Telephones and Communication      Medium Box       6/20/2017
   31106        2/15/2019         Low             43         5025.8242    Regular Air          6              Saskachewan           Corporate           Technology     Telephones and Communication      Small Box        2/22/2019
   32069       11/18/2018    Not Specified        17           122.99     Regular Air         10.4             Manitoba              Consumer        Office Supplies               Paper                 Small Box       11/20/2018
   38564        11/1/2016       Critical          31           968.28     Regular Air         4.3               Ontario            Home Office          Technology         Computer Peripherals          Small Box        11/2/2016
   17571        3/15/2019    Not Specified        50          1814.35     Express Air         5.9                Yukon               Consumer           Technology         Computer Peripherals          Small Box        3/17/2019
   54592        6/11/2018         Low             28          2109.57    Delivery Truck       28.7              Quebec            Small Business        Furniture                Bookcases               Jumbo Box        6/15/2018
   19687        8/12/2017        Medium           33           51.35      Regular Air         0.7               Ontario              Consumer        Office Supplies           Rubber Bands               Wrap Bag        8/13/2017
   25095        1/24/2018         Low             41          4788.28    Delivery Truck       60.1              Ontario              Consumer           Technology            Office Machines            Jumbo Drum       1/24/2018
   19010        6/6/2016          Low             18          25458.44    Regular Air         21.4       Northwest Territories    Small Business     Office Supplies   Binders and Binder Accessorie     Small Box        6/8/2016
    6150        10/1/2019       Critical          38           204.52     Regular Air         0.9               Alberta           Small Business     Office Supplies               Paper                  Wrap Bag        10/2/2019
    7429        5/25/2017    Not Specified         6           180.03     Express Air         7.4               Ontario            Home Office          Furniture           Office Furnishings           Small Box        5/26/2017
    7938        3/12/2017        Medium           34           358.09     Regular Air         1.2            Newfoundland           Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        3/13/2017
   29475        2/21/2017         High             2          1941.86    Delivery Truck       47.7              Ontario            Home Office          Furniture                Bookcases               Jumbo Box        2/24/2017
    1600        3/1/2017         Medium           32           324.84     Regular Air         6.7               Ontario             Corporate           Furniture           Office Furnishings           Small Box        3/3/2017
   39749        6/26/2017         High            43           118.38     Regular Air         2.6               Ontario              Consumer        Office Supplies        Pens & Art Supplies           Wrap Bag        6/28/2017
   26055       11/25/2019    Not Specified        46          7204.87     Regular Air         4.3                Yukon             Home Office          Technology         Computer Peripherals          Small Box       11/26/2019
   12289       12/23/2018         Low             25          3230.77     Regular Air         7.6        Northwest Territories      Corporate           Technology            Office Machines            Medium Box      12/27/2018
   21539        7/8/2017         Medium           18           415.3      Regular Air         8.9                Yukon               Consumer        Office Supplies               Paper                  Wrap Bag        7/9/2017
    7623       10/27/2016       Critical          37          1918.96     Regular Air         21.4              Quebec              Corporate           Technology         Computer Peripherals          Small Box       10/29/2016
   44678       10/13/2019         Low             36         1233.3141    Regular Air         7.6             Saskachewan         Small Business        Furniture           Office Furnishings           Small Box       10/13/2019
   13632        3/9/2016         Medium            6           651.56     Express Air         21.4           New Brunswick         Home Office          Technology            Office Machines            Small Box        3/11/2016
   37252       11/18/2018         Low             50         2500.6221    Regular Air         21.4             Manitoba             Corporate           Technology         Computer Peripherals          Small Box       11/20/2018
   10341       12/21/2019         High            17         2474.8672   Delivery Truck       19.1              Alberta           Small Business        Technology            Office Machines            Jumbo Drum      12/22/2019
   21089        7/27/2018        Medium            4           598.93    Delivery Truck       75.1              Ontario             Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       7/29/2018
   28738        8/10/2019        Medium           10          1647.62     Regular Air         21.4           New Brunswick        Small Business     Office Supplies      Storage & Organization         Small Box        8/11/2019
    7812        4/19/2018         Low             17           509.21     Regular Air         20.8               Yukon              Corporate           Furniture           Office Furnishings           Small Box        4/26/2018
   48261        3/17/2018        Medium           15          2279.81    Delivery Truck       32.1              Ontario            Home Office          Furniture           Chairs & Chairmats           Jumbo Drum       3/18/2018
   42242        3/31/2016    Not Specified        15          1546.02     Regular Air         7.7               Ontario             Corporate           Technology         Computer Peripherals          Small Box        4/1/2016
   24740        1/9/2017         Medium           35           120.47     Express Air         5.4               Quebec              Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        1/9/2017
    8195        1/5/2018         Medium            1            9.07      Regular Air         3.9               Quebec               Consumer           Furniture           Office Furnishings            Wrap Bag        1/7/2018
   47846        8/11/2019         High            37           258.02     Regular Air         7.4        Prince Edward Island       Corporate        Office Supplies               Paper                 Small Box        8/12/2019
    7142        7/20/2018       Critical          36           142.16     Regular Air         0.5               Alberta             Corporate        Office Supplies              Labels                 Small Box        7/22/2018
   35812        1/21/2017       Critical          19           911.13     Regular Air         6.3          British Columbia       Small Business     Office Supplies               Paper                 Small Box        1/23/2017
    9925        1/29/2019       Critical          17           92.52      Regular Air         3.2             Nova Scotia           Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        1/31/2019
   56550        4/7/2018     Not Specified         8           502.73     Regular Air         9.6               Alberta            Home Office          Technology     Telephones and Communication      Small Box        4/8/2018
   36772        5/14/2017        Medium            8           24.45      Regular Air         1.1               Alberta            Home Office       Office Supplies              Labels                 Small Box        5/14/2017
   58851        6/6/2017          Low              3           25.61      Regular Air          1                Ontario             Corporate           Furniture           Office Furnishings            Wrap Bag        6/10/2017
   44064        3/2/2017         Medium           43           501.27     Express Air          12              Manitoba              Consumer        Office Supplies               Paper                 Small Box        3/4/2017
   45347        9/28/2017        Medium           41          25735.09    Express Air         26.2              Ontario             Corporate           Technology            Copiers and Fax            Large Box        9/30/2017
   13280        9/10/2016         High            49           341.07     Regular Air         5.4        Northwest Territories    Small Business        Technology     Telephones and Communication      Medium Box       9/11/2016
   33764        2/9/2018        Critical           6          1101.98     Express Air         9.6               Alberta           Small Business        Technology     Telephones and Communication      Small Box        2/10/2018
   38503        5/4/2016          Low             32           851.75    Delivery Truck       16.8              Ontario             Corporate           Furniture           Office Furnishings           Jumbo Drum       5/8/2016
   27554        3/9/2018        Critical          45          13573.53   Delivery Truck        43                Yukon            Small Business        Furniture                 Tables                 Jumbo Box        3/11/2018
   41413       11/15/2018         Low             46          1889.23     Regular Air         15.5         British Columbia         Corporate           Furniture           Office Furnishings           Large Box       11/17/2018
   57159        2/11/2017       Critical          17          4944.58    Delivery Truck        61              Manitoba             Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       2/12/2017
   50816        3/26/2016         High             6           106.05     Regular Air         2.1          British Columbia       Small Business        Technology         Computer Peripherals          Small Pack       3/28/2016
   14530        4/5/2016          High            44         5191.1077    Regular Air         8.2             Saskachewan          Home Office          Technology     Telephones and Communication      Small Box        4/5/2016
    9152        8/19/2017    Not Specified        43           313.3      Regular Air         5.4              Manitoba            Home Office          Technology     Telephones and Communication      Medium Box       8/19/2017
   47622        9/12/2019    Not Specified        41          8761.36     Regular Air          15              Manitoba             Corporate           Technology            Office Machines            Medium Box       9/13/2019
   49891        9/11/2016    Not Specified        19           94.59      Regular Air         0.5             Nova Scotia            Consumer        Office Supplies              Labels                 Small Box        9/11/2016
   14147        3/6/2017     Not Specified        45           208.68     Regular Air         6.1               Ontario            Home Office       Office Supplies               Paper                 Small Box        3/8/2017
    6241       12/28/2016         Low             24          143.3158    Express Air         1.1              Manitoba           Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        1/2/2017
   50051        10/3/2016        Medium           15           330.24     Express Air         6.8               Ontario             Corporate           Furniture           Office Furnishings           Small Box        10/3/2016
   31524        6/25/2018         Low             10          1097.69    Delivery Truck       44.9               Yukon            Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       6/27/2018
   22404       11/15/2017         Low             35          7773.16     Regular Air         19.3            Saskachewan          Home Office          Furniture           Chairs & Chairmats           Large Box       11/22/2017
    4261        10/2/2019       Critical          22         1665.8509   Delivery Truck       64.2         British Columbia         Corporate        Office Supplies            Appliances               Jumbo Drum       10/3/2019
   19943       11/23/2016       Critical          16          2097.11    Delivery Truck       55.6               Yukon              Corporate           Furniture                 Tables                 Jumbo Box       11/24/2016
    9024        6/2/2019         Medium           44          2480.49     Regular Air          3              Nova Scotia          Home Office          Technology     Telephones and Communication      Small Box        6/2/2019
   34246        10/6/2017       Critical          27           345.28     Regular Air         7.5        Northwest Territories     Home Office       Office Supplies             Envelopes               Small Box        10/8/2017
   29667        7/23/2016    Not Specified        14           230.38     Regular Air         11.7           Newfoundland           Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        7/24/2016
   50978        3/31/2019         High             4           873.22     Regular Air         10.7               Yukon              Corporate        Office Supplies      Storage & Organization         Small Box        4/2/2019
   36257        2/26/2019         High            43          957.1257    Regular Air         2.1               Alberta           Small Business        Technology         Computer Peripherals          Small Pack       2/28/2019
    4261        10/2/2019       Critical          48           293.59     Regular Air         5.7          British Columbia         Corporate        Office Supplies               Paper                 Small Box        10/4/2019
   17571        3/15/2019    Not Specified        32           109.77     Regular Air         1.7                Yukon               Consumer        Office Supplies           Rubber Bands               Wrap Bag        3/16/2019
   34530        8/29/2017         Low             38           655.36     Regular Air         2.1               Ontario              Consumer           Technology         Computer Peripherals          Small Pack       9/3/2017
    1767        3/12/2018         High            10           49.58      Regular Air         0.7               Alberta             Corporate        Office Supplies           Rubber Bands               Wrap Bag        3/14/2018
    5414        3/23/2017    Not Specified        14           304.54     Express Air         5.8               Quebec              Corporate        Office Supplies      Storage & Organization         Small Box        3/24/2017
    3814        2/20/2018         Low             43          1311.19     Express Air          15                Yukon               Consumer        Office Supplies      Storage & Organization         Medium Box       2/26/2018
   53189        8/22/2018       Critical          29           229.18     Express Air         6.4          British Columbia         Corporate        Office Supplies               Paper                 Small Box        8/22/2018
   29252        8/5/2016          Low              9           70.42      Regular Air         5.6          British Columbia       Small Business     Office Supplies               Paper                 Small Box        8/9/2016
    2368        8/18/2017       Critical          36           544.34     Regular Air         14.3              Ontario              Consumer        Office Supplies            Appliances               Small Box        8/20/2017
   36099        9/16/2017         Low             32           91.47      Regular Air         0.7          British Columbia        Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        9/21/2017
   47460        10/9/2017       Critical          12           33.81      Regular Air          1         Northwest Territories      Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag       10/11/2017
    2208        4/29/2018    Not Specified        41          24910.72    Regular Air         26.2            Nova Scotia          Home Office          Technology            Copiers and Fax            Large Box        4/30/2018
   31873        11/7/2016         Low             14          2638.09     Regular Air         9.6               Ontario            Home Office          Technology     Telephones and Communication      Small Box       11/14/2016
   36103        4/29/2019       Critical          10          59.7274     Regular Air         6.1            New Brunswick         Home Office          Furniture           Office Furnishings           Small Pack       5/1/2019
    1282        2/26/2019    Not Specified        10           31.47      Regular Air         1.4          British Columbia        Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        2/28/2019
   25315        12/1/2017         Low             36           8328.2     Express Air         12.6       Prince Edward Island        Consumer        Office Supplies            Appliances               Medium Box       12/1/2017
    3395       10/28/2016    Not Specified        29           666.63     Regular Air         12.3         British Columbia          Consumer        Office Supplies      Storage & Organization         Small Box       10/29/2016
   59937       12/27/2016         High             7           252.5      Regular Air         18.3              Quebec            Small Business     Office Supplies               Paper                 Small Box       12/28/2016
   40835       11/23/2016         High            26           421.14     Regular Air          9         Prince Edward Island     Small Business     Office Supplies   Binders and Binder Accessorie     Small Box       11/25/2016
   41926        2/4/2018          High            17           120.45     Regular Air         5.5               Ontario           Small Business     Office Supplies               Paper                 Small Box        2/5/2018
   16258        7/5/2018         Medium            1          10.3683     Regular Air         5.1            New Brunswick          Corporate        Office Supplies               Paper                 Small Box        7/6/2018
    1440        8/8/2018          Low             41          777.0554    Regular Air         9.6              Manitoba           Small Business        Furniture           Office Furnishings           Small Pack       8/10/2018
   39172        6/24/2017         Low             38          9644.53     Regular Air         21.4              Ontario            Home Office       Office Supplies            Appliances               Small Box        7/1/2017
   52933        8/25/2017         Low             44           225.19     Express Air         1.6             Nova Scotia            Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        9/1/2017
   49223        10/1/2018        Medium           24          254.9275    Regular Air         7.8             Nova Scotia           Corporate        Office Supplies      Storage & Organization         Small Box        10/1/2018
   21223        3/15/2019    Not Specified         3           340.21    Delivery Truck       28.1       Prince Edward Island        Consumer           Furniture                Bookcases               Jumbo Box        3/16/2019
   51362        2/21/2017        Medium           47          1606.926    Regular Air         4.3          British Columbia         Corporate           Technology         Computer Peripherals          Small Box        2/23/2017
    4545        1/15/2017    Not Specified        33           135.23     Regular Air         1.4               Ontario           Small Business     Office Supplies               Paper                  Wrap Bag        1/17/2017
   59591        10/8/2016    Not Specified        34          3597.17    Delivery Truck        15             Saskachewan          Home Office          Technology            Office Machines            Jumbo Drum       10/9/2016
   44487        9/10/2016       Critical          37           597.88     Regular Air         4.8               Quebec              Corporate        Office Supplies      Storage & Organization         Small Box        9/12/2016
   37443        4/14/2017    Not Specified        50           3070.3     Regular Air         4.3             Nova Scotia         Small Business     Office Supplies            Appliances               Small Box        4/14/2017
    5281       10/31/2018         High            14          2908.33     Regular Air         22.7             Manitoba              Consumer           Furniture           Office Furnishings           Large Box        11/1/2018
   45670        8/7/2019          Low              2           21.57      Regular Air         8.4               Quebec              Corporate        Office Supplies               Paper                 Small Box        8/11/2019
   18241        7/26/2017         Low              3           69.015     Regular Air         2.1               Ontario            Home Office          Technology         Computer Peripherals          Small Pack       7/28/2017
   23427        8/7/2018          Low             30           473.75     Regular Air          9                 Yukon              Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        8/14/2018
    9091       11/10/2017         High            44          1584.57     Regular Air         9.4                Yukon              Corporate        Office Supplies               Paper                 Small Box       11/11/2017
   13607       11/17/2017       Critical          37           117.59     Express Air         0.5               Alberta           Small Business     Office Supplies              Labels                 Small Box       11/18/2017
   55138        9/23/2016         High            22         1211.8178    Regular Air         37.5             Manitoba             Corporate        Office Supplies      Storage & Organization         Large Box        9/24/2016
   13638        9/29/2018         High            49           730.56     Regular Air         2.1               Ontario              Consumer           Technology         Computer Peripherals          Small Pack       10/1/2018
   44609        6/17/2018         Low             37           66.09      Express Air         0.7              Manitoba           Small Business     Office Supplies           Rubber Bands               Wrap Bag        6/21/2018
   57314       10/11/2017         Low             22           905.59     Express Air         5.4             Nova Scotia          Home Office       Office Supplies               Paper                  Wrap Bag       10/15/2017
   33702        9/2/2019     Not Specified        14            60.2      Express Air         0.5          British Columbia         Corporate        Office Supplies              Labels                 Small Box        9/3/2019
    2050        5/31/2016    Not Specified        25           580.06     Regular Air         12.3           New Brunswick           Consumer        Office Supplies               Paper                 Small Box        6/2/2016
   27589        9/14/2018        Medium           36           68.94      Regular Air         1.6               Ontario             Corporate           Furniture                 Tables                 Jumbo Box        9/15/2018
   48167        9/5/2016        Critical          45           302.79     Regular Air         9.5              Manitoba             Corporate        Office Supplies               Paper                 Small Box        9/6/2016
   48455        6/1/2016        Critical           2          27.7772     Regular Air         6.7               Ontario           Small Business        Technology            Office Machines            Medium Box       6/2/2016
   54368       10/31/2018    Not Specified        43          1798.65     Regular Air         5.3               Quebec            Small Business        Technology     Telephones and Communication      Small Box        11/1/2018
    3586        12/3/2017         High            31           493.38     Regular Air         5.4               Quebec             Home Office          Furniture           Office Furnishings           Small Pack       12/5/2017
   49312        2/20/2018       Critical          19         2013.9326    Express Air         6.2             Nova Scotia           Corporate           Furniture           Office Furnishings           Medium Box       2/22/2018
   13702        9/9/2018          Low              6           223.63     Regular Air          8         Northwest Territories    Small Business     Office Supplies               Paper                 Small Box        9/13/2018
   57253        1/5/2016        Critical          25         2942.6145    Regular Air         5.6               Ontario              Consumer           Technology     Telephones and Communication      Small Box        1/5/2016
   39846        2/27/2016         Low             14           76.47      Regular Air         4.9        Northwest Territories      Corporate           Technology         Computer Peripherals          Small Pack       3/5/2016
   32871       10/26/2019         High            14          2301.66    Delivery Truck       19.1              Ontario           Small Business        Technology            Office Machines            Jumbo Drum      10/28/2019
   50626       10/19/2016        Medium           18          3496.13    Delivery Truck       38.4           New Brunswick           Consumer           Furniture                Bookcases               Jumbo Box       10/20/2016
   34400       12/24/2019         Low             25           99.01      Regular Air         4.5              Manitoba             Corporate        Office Supplies        Pens & Art Supplies          Small Pack      12/28/2019
   14114        4/5/2016        Critical          29           69.72      Regular Air         1.5             Nova Scotia         Small Business     Office Supplies           Rubber Bands               Wrap Bag        4/5/2016
   57602        5/17/2019         Low             43           139.49     Regular Air         0.5              Manitoba              Consumer        Office Supplies              Labels                 Small Box        5/26/2019
   20134        3/11/2018         Low             47           301.17     Regular Air         7.9               Ontario             Corporate        Office Supplies               Paper                 Small Box        3/18/2018
    1317        5/17/2018         High            40          206.0178    Regular Air          8              Saskachewan            Consumer        Office Supplies               Paper                 Small Box        5/18/2018
   15271        7/24/2017       Critical           7           237.82     Regular Air         1.3             Nova Scotia            Consumer           Technology     Telephones and Communication      Small Pack       7/24/2017
   52324        6/29/2019    Not Specified         4           810.11    Delivery Truck       32.1              Ontario           Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       6/30/2019
   13729        1/1/2016     Not Specified         9           933.55     Express Air         37.5              Quebec             Home Office       Office Supplies      Storage & Organization         Large Box        1/3/2016
   55874        2/16/2016        Medium           41           244.28     Express Air         4.9               Ontario           Small Business        Technology         Computer Peripherals          Small Pack       2/18/2016
   33537        8/12/2017        Medium           26           48.56      Regular Air         0.7              Manitoba             Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        8/14/2017
   39460        5/1/2016     Not Specified        25          184.4894    Regular Air         6.5               Ontario              Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        5/3/2016
    7239        6/28/2018        Medium           50          6640.59     Regular Air         21.4              Ontario           Small Business     Office Supplies      Storage & Organization         Small Box        6/30/2018
   21188        9/20/2018       Critical          29          22520.01    Regular Air         26.2              Alberta           Small Business        Technology            Copiers and Fax            Large Box        9/22/2018
   59075        2/25/2019         Low             38           455.72     Regular Air         5.4               Ontario           Small Business     Office Supplies               Paper                 Small Box        2/28/2019
   29346        8/15/2016         Low              2           31.09      Regular Air         7.5             Nova Scotia           Corporate        Office Supplies             Envelopes               Small Box        8/19/2016
   30726       11/24/2016        Medium           35          775.9105    Regular Air         4.3               Ontario            Home Office       Office Supplies            Appliances               Small Box       11/25/2016
    2086       10/17/2016       Critical          38          2263.31     Regular Air         9.6             Saskachewan           Corporate           Technology     Telephones and Communication      Small Box       10/18/2016
   41413       11/15/2018         Low             17          10843.97    Regular Air         26.2         British Columbia         Corporate           Technology            Copiers and Fax            Large Box       11/22/2018
   47301        7/16/2018         Low              6           492.96     Regular Air         37.5              Ontario              Consumer        Office Supplies      Storage & Organization         Large Box        7/21/2018
    5153        8/24/2018       Critical          37          5239.72     Express Air         13.5       Prince Edward Island      Home Office          Furniture           Chairs & Chairmats           Medium Box       8/26/2018
   38656        8/10/2019         Low              3           600.73    Delivery Truck        28               Ontario              Consumer           Furniture           Chairs & Chairmats           Jumbo Drum       8/15/2019
   40835       11/23/2016         High            14           589.76     Regular Air         21.4       Prince Edward Island     Small Business        Technology         Computer Peripherals          Small Box       11/25/2016
   32803       12/15/2018        Medium           49           397.99     Express Air          5                Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box       12/16/2018
   31973        5/11/2018    Not Specified        15           432.86     Regular Air         5.7            New Brunswick        Small Business        Furniture           Chairs & Chairmats           Medium Box       5/12/2018
   31618        7/10/2018       Critical          14          431.3919    Regular Air         1.6        Northwest Territories      Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        7/10/2018
    2023        5/5/2019          Low              4           315.53     Regular Air          13             Saskachewan          Home Office          Technology         Computer Peripherals          Small Box        5/5/2019
   28805        4/1/2018         Medium            4           27.31      Regular Air         1.6               Ontario             Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        4/3/2018
   19044        4/11/2019         Low             29           290.32     Regular Air         10.1         British Columbia         Corporate        Office Supplies      Storage & Organization         Small Box        4/18/2019
   54119        5/21/2017        Medium            4           136.49     Regular Air         7.1          British Columbia         Corporate        Office Supplies      Storage & Organization         Small Box        5/24/2017
   26724        2/6/2016        Critical           2          1966.85     Regular Air          15               Quebec            Small Business        Technology            Office Machines            Medium Box       2/8/2016
    1573       12/27/2019         High            13           813.14    Delivery Truck       34.7              Ontario           Small Business        Furniture           Chairs & Chairmats           Jumbo Drum      12/29/2019
    263         5/15/2016         High            25           146.34     Regular Air         8.3                Yukon              Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        5/16/2016
   48643       10/18/2019        Medium           14          9813.73    Delivery Truck       59.2           New Brunswick         Home Office          Technology            Office Machines            Jumbo Drum      10/20/2019
   16258        7/5/2018         Medium           48           355.23     Regular Air         2.5            New Brunswick          Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag        7/7/2018
   37793        11/7/2016    Not Specified        16           240.18     Regular Air         8.1        Northwest Territories      Corporate        Office Supplies   Scissors, Rulers and Trimmers     Small Pack       11/8/2016
   14983        2/11/2016         High            48          9069.28     Express Air         9.6             Saskachewan            Consumer           Technology     Telephones and Communication      Small Box        2/12/2016
   27746        12/3/2017       Critical           3           93.19      Regular Air         8.4               Alberta              Consumer           Furniture           Office Furnishings           Small Box        12/4/2017
   45571        9/23/2019        Medium           44           770.96     Regular Air         9.1              Manitoba              Consumer           Technology            Office Machines            Medium Box       9/25/2019
   14241        6/14/2019       Critical          22           282.08     Regular Air         2.5             Saskachewan          Home Office       Office Supplies        Pens & Art Supplies           Wrap Bag        6/15/2019
   56166        8/3/2017        Critical           1           152.2     Delivery Truck       44.9           Newfoundland            Consumer           Furniture           Chairs & Chairmats           Jumbo Drum       8/4/2017
   44261        3/23/2019         High            34          5105.92    Delivery Truck       38.6         British Columbia         Corporate           Furniture                Bookcases               Jumbo Box        3/25/2019
   57216        7/28/2017         High            46         13610.079   Delivery Truck        61               Alberta             Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       7/28/2017
   52416        1/31/2016    Not Specified         6            53.3      Regular Air         6.2               Ontario             Corporate        Office Supplies               Paper                  Wrap Bag        2/2/2016
   41440        9/21/2016         High            19         6495.9272   Delivery Truck       57.9         British Columbia         Corporate           Furniture                 Tables                 Jumbo Box        9/24/2016
    2275       10/21/2019    Not Specified        49           297.46     Regular Air         1.3               Nunavut           Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag       10/22/2019
   12485        8/6/2017        Critical          24          5785.82    Delivery Truck       30.1       Northwest Territories     Home Office          Furniture           Chairs & Chairmats           Jumbo Drum       8/7/2017
   33604        8/17/2018         High            10           63.79      Regular Air         8.3          British Columbia         Corporate        Office Supplies   Binders and Binder Accessorie     Small Box        8/19/2018
   32519        10/7/2017         Low              8           91.34      Regular Air         4.8              Manitoba              Consumer        Office Supplies            Appliances               Small Box       10/12/2017
   46919        6/17/2016         Low             31          4797.79     Regular Air          7                Ontario           Small Business        Technology         Computer Peripherals          Small Box        6/19/2016
   30885        6/20/2017         High            24           250.64     Regular Air         10.1               Yukon              Corporate        Office Supplies      Storage & Organization         Small Box        6/21/2017
    5990        4/6/2017        Critical           9           68.38      Regular Air         6.8                Yukon             Home Office       Office Supplies               Paper                 Small Box        4/7/2017
   49477       11/28/2018        Medium            9           81.26      Regular Air         6.2               Ontario             Corporate        Office Supplies               Paper                  Wrap Bag       11/28/2018
   40258        4/8/2016     Not Specified        31           480.93     Regular Air         14.3              Ontario           Small Business     Office Supplies            Appliances               Small Box        4/10/2016
   14755        1/4/2017          High            44          2485.41     Express Air         4.5               Ontario              Consumer           Technology     Telephones and Communication      Small Box        1/6/2017
   45155        2/14/2018         Low             35           119.36     Regular Air         2.1             Nova Scotia           Corporate        Office Supplies   Scissors, Rulers and Trimmers      Wrap Bag        2/14/2018
    2790        8/17/2016         High            15           353.36     Express Air         5.9          British Columbia        Home Office       Office Supplies        Pens & Art Supplies          Small Pack       8/18/2016
   34816        11/4/2017    Not Specified        29          1239.54     Regular Air         4.8          British Columbia         Corporate        Office Supplies            Appliances               Small Box        11/4/2017
   14435        12/1/2019    Not Specified        44           1390.9     Regular Air         6.2               Quebec            Small Business     Office Supplies               Paper                 Small Box        12/1/2019
    9696        2/18/2018    Not Specified        13         3568.7389   Delivery Truck       46.4              Alberta             Corporate           Furniture           Chairs & Chairmats           Jumbo Drum       2/20/2018
   27750       10/19/2019         Low             18           7886.8    Delivery Truck       52.4              Alberta           Small Business        Technology            Copiers and Fax            Jumbo Drum      10/19/2019
   42309        8/5/2016          Low             41           914.03     Regular Air         6.8             Saskachewan         Small Business     Office Supplies            Appliances               Small Box        8/7/2016
   23333        8/4/2016         Medium           32          210.6188    Regular Air         6.2               Ontario            Home Office       Office Supplies               Paper                 Small Box        8/6/2016
   41059        9/13/2017        Medium           45          13451.64    Regular Air          15               Ontario             Corporate           Technology            Office Machines            Medium Box       9/14/2017
   57381        8/6/2016          High            13          551.2961    Regular Air         3.2          British Columbia          Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        8/7/2016
    4645        9/18/2016       Critical          11          3813.35     Regular Air         12.5              Alberta           Small Business        Technology            Copiers and Fax            Large Box        9/20/2016
    5989       10/13/2018        Medium           21           60.74      Regular Air         1.4                Yukon              Corporate        Office Supplies        Pens & Art Supplies           Wrap Bag       10/14/2018
   30243        5/4/2017        Critical          21          4539.75     Regular Air         26.2       Prince Edward Island       Corporate           Technology            Copiers and Fax            Large Box        5/6/2017
   48774        8/9/2019          High            31          7836.44    Delivery Truck       67.3              Quebec            Small Business        Furniture           Chairs & Chairmats           Jumbo Drum       8/11/2019
    5189       11/24/2017         Low             12           963.06     Regular Air         15.5               Yukon              Corporate           Technology         Computer Peripherals          Small Box        12/1/2017
   35045        4/2/2019         Medium           44           604.56     Regular Air         4.8              Manitoba           Small Business     Office Supplies      Storage & Organization         Small Box        4/4/2019
    9219        9/27/2016         Low             24         1326.5967    Regular Air          7                Alberta              Consumer           Technology         Computer Peripherals          Small Box        10/2/2016
   46912        6/30/2019         Low              5           314.58     Regular Air         15.9       Northwest Territories     Home Office          Furniture           Office Furnishings           Small Box        6/30/2019
   10369        11/8/2018         Low             23           731.54     Regular Air         9.6          British Columbia        Home Office          Technology         Computer Peripherals          Small Pack      11/13/2018
   17506        2/27/2017         Low             33          10136.44   Delivery Truck       45.5              Ontario            Home Office       Office Supplies            Appliances               Jumbo Drum       3/3/2017
   21890        1/23/2018    Not Specified        27           87.63      Regular Air          1             Newfoundland         Small Business     Office Supplies        Pens & Art Supplies           Wrap Bag        1/25/2018
    132         6/9/2017         Medium           30          4292.47    Delivery Truck       58.6            Nova Scotia            Consumer           Furniture                Bookcases               Jumbo Box        6/12/2017
   12706       11/19/2016       Critical          46          2669.32    Delivery Truck       39.2               Yukon              Corporate           Furniture                Bookcases               Jumbo Box       11/20/2016
    8130        5/13/2019       Critical          15           70.97      Regular Air         5.4              Manitoba              Consumer        Office Supplies   Binders and Binder Accessorie     Small Box        5/15/2019
